model_label,condition_id,q,N,run,step,time_sweeps,record_type,leader_share,n_active_opinions
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,295,5.9,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,300,6.0,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,305,6.1,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,310,6.2,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,315,6.3,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,320,6.4,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,325,6.5,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,330,6.6,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,335,6.7,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,340,6.8,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,345,6.9,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,350,7.0,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,355,7.1,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,360,7.2,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,365,7.3,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,370,7.4,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,375,7.5,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,380,7.6,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,385,7.7,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,390,7.8,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,395,7.9,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,400,8.0,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,405,8.1,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,410,8.2,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,415,8.3,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,420,8.4,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,425,8.5,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,430,8.6,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,435,8.7,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,440,8.8,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,445,8.9,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,450,9.0,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,455,9.1,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,460,9.2,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,465,9.3,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,470,9.4,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,475,9.5,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,480,9.6,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,485,9.7,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,490,9.8,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,495,9.9,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,500,10.0,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,505,10.1,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,510,10.2,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,515,10.3,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,520,10.4,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,525,10.5,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,530,10.6,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,535,10.7,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,540,10.8,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,545,10.9,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,550,11.0,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,555,11.1,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,560,11.2,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,565,11.3,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,570,11.4,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,575,11.5,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,580,11.6,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,585,11.7,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,590,11.8,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,595,11.9,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,600,12.0,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,605,12.1,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,610,12.2,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,615,12.3,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,620,12.4,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,625,12.5,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,630,12.6,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,635,12.7,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,640,12.8,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,645,12.9,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,650,13.0,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,655,13.1,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,660,13.2,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,665,13.3,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,670,13.4,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,675,13.5,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,680,13.6,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,685,13.7,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,690,13.8,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,695,13.9,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,700,14.0,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,705,14.1,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,710,14.2,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,715,14.3,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,720,14.4,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,725,14.5,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,730,14.6,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,735,14.7,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,740,14.8,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,745,14.9,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,750,15.0,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,755,15.1,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,760,15.2,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,765,15.3,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,770,15.4,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,775,15.5,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,780,15.6,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,785,15.7,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,790,15.8,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,795,15.9,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,800,16.0,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,805,16.1,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,810,16.2,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,815,16.3,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,820,16.4,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,825,16.5,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,830,16.6,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,835,16.7,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,840,16.8,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,845,16.9,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,850,17.0,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,855,17.1,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,860,17.2,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,865,17.3,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,870,17.4,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,875,17.5,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,880,17.6,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,885,17.7,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,890,17.8,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,895,17.9,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,900,18.0,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,905,18.1,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,910,18.2,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,915,18.3,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,920,18.4,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,925,18.5,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,930,18.6,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,935,18.7,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,940,18.8,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,945,18.9,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,950,19.0,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,955,19.1,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,960,19.2,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,965,19.3,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,970,19.4,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,975,19.5,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,980,19.6,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,985,19.7,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,990,19.8,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,995,19.9,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1000,20.0,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1005,20.1,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1010,20.2,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1015,20.3,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1020,20.4,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1025,20.5,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1030,20.6,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1035,20.7,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1040,20.8,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1045,20.9,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1050,21.0,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1055,21.1,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1060,21.2,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1065,21.3,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1070,21.4,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1075,21.5,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1080,21.6,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1085,21.7,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1090,21.8,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1095,21.9,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1100,22.0,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1105,22.1,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1110,22.2,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1115,22.3,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1120,22.4,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1125,22.5,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1130,22.6,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1135,22.7,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1140,22.8,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1145,22.9,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1150,23.0,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1155,23.1,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1160,23.2,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1165,23.3,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1170,23.4,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1175,23.5,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1180,23.6,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1185,23.7,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1190,23.8,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1195,23.9,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1200,24.0,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1205,24.1,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1210,24.2,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1215,24.3,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1220,24.4,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1225,24.5,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1230,24.6,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1235,24.7,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1240,24.8,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1245,24.9,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1250,25.0,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1255,25.1,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1260,25.2,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1265,25.3,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1270,25.4,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1275,25.5,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1280,25.6,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1285,25.7,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1290,25.8,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1295,25.9,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1300,26.0,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1305,26.1,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1310,26.2,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1315,26.3,regular,1.0,1
qwen25_7b_abliterated_v2,neutral_matched_political_q6_N50,6,50,0,1320,26.4,regular,1.0,1
